symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,1.6890931874513626e-05
0,TVAE,16-8,1.6910023987293243e-05
0,TVAE,16-8,1.7219921573996544e-05
0,TVAE,16-8,1.6903970390558243e-05
0,TVAE,16-8,1.6941223293542862e-05
0,TVAE,16-8,1.6982201486825943e-05
0,TVAE,16-8,1.6957055777311325e-05
0,TVAE,16-8,1.6893958672881126e-05
0,TVAE,16-8,1.6904901713132858e-05
0,TVAE,16-8,1.6961945220828056e-05
0,TVAE,16-8,1.692306250333786e-05
0,TVAE,16-8,1.6925157979130745e-05
0,TVAE,16-8,1.687486656010151e-05
0,TVAE,16-8,1.6922131180763245e-05
0,TVAE,16-8,1.730397343635559e-05
0,TVAE,16-8,1.6846926882863045e-05
0,TVAE,16-8,1.6859034076333046e-05
0,TVAE,16-8,1.693982630968094e-05
0,TVAE,16-8,1.682015135884285e-05
0,TVAE,16-8,1.694704405963421e-05
0,TVAE,16-8,1.6897916793823242e-05
0,TVAE,16-8,1.6889069229364395e-05
0,TVAE,16-8,1.6974983736872673e-05
0,TVAE,16-8,1.6869045794010162e-05
0,TVAE,16-8,1.688697375357151e-05
0,TVAE,16-8,1.680990681052208e-05
0,TVAE,16-8,1.680385321378708e-05
0,TVAE,16-8,1.6844132915139198e-05
0,TVAE,16-8,2.2280029952526093e-05
0,TVAE,16-8,1.699896529316902e-05
0,TVAE,16-8,1.689302735030651e-05
0,TVAE,16-8,1.6683945432305336e-05
0,TVAE,16-8,1.6755890101194382e-05
0,TVAE,16-8,1.674308441579342e-05
0,TVAE,16-8,2.3436034098267555e-05
0,TVAE,16-8,1.7113052308559418e-05
0,TVAE,16-8,1.6909092664718628e-05
0,TVAE,16-8,1.6833888366818428e-05
0,TVAE,16-8,1.6740988940000534e-05
0,TVAE,16-8,1.6797101125121117e-05
0,TVAE,16-8,1.670699566602707e-05
0,TVAE,16-8,1.664506271481514e-05
0,TVAE,16-8,1.6683945432305336e-05
0,TVAE,16-8,1.6706064343452454e-05
0,TVAE,16-8,1.665111631155014e-05
0,TVAE,16-8,1.668301410973072e-05
0,TVAE,16-8,1.675705425441265e-05
0,TVAE,16-8,1.6677193343639374e-05
0,TVAE,16-8,1.6717007383704185e-05
0,TVAE,16-8,1.6713980585336685e-05
0,TVAE,16-8,1.6699079424142838e-05
0,TVAE,16-8,1.6627833247184753e-05
0,TVAE,16-8,1.7279991880059242e-05
0,TVAE,16-8,1.673121005296707e-05
0,TVAE,16-8,1.6765901818871498e-05
0,TVAE,16-8,1.6764039173722267e-05
0,TVAE,16-8,2.746516838669777e-05
0,TVAE,16-8,1.689908094704151e-05
0,TVAE,16-8,1.6657868400216103e-05
0,TVAE,16-8,1.675100065767765e-05
0,TVAE,16-8,1.673586666584015e-05
0,TVAE,16-8,1.67179387062788e-05
0,TVAE,16-8,1.6764039173722267e-05
0,TVAE,16-8,1.6759149730205536e-05
0,TVAE,16-8,1.664203591644764e-05
0,TVAE,16-8,1.9145896658301353e-05
0,TVAE,16-8,1.6829930245876312e-05
0,TVAE,16-8,1.6713980585336685e-05
0,TVAE,16-8,1.6757985576987267e-05
0,TVAE,16-8,1.6982201486825943e-05
0,TVAE,16-8,1.679197885096073e-05
0,TVAE,16-8,1.668417826294899e-05
0,TVAE,16-8,1.6748905181884766e-05
0,TVAE,16-8,1.671304926276207e-05
0,TVAE,16-8,1.6748206689953804e-05
0,TVAE,16-8,1.6720034182071686e-05
0,TVAE,16-8,1.6988953575491905e-05
0,TVAE,16-8,1.6717007383704185e-05
0,TVAE,16-8,1.663598231971264e-05
0,TVAE,16-8,1.6761012375354767e-05
0,TVAE,16-8,1.6701873391866684e-05
0,TVAE,16-8,1.665600575506687e-05
0,TVAE,16-8,1.674308441579342e-05
0,TVAE,16-8,1.667090691626072e-05
0,TVAE,16-8,1.6676029190421104e-05
0,TVAE,16-8,1.6660895198583603e-05
0,TVAE,16-8,1.6661128029227257e-05
